house_number,area,usage_kwh,total_bill
322,Urban,1167,541.38
323,Urban,1070,488.42
324,Urban,651,259.65
325,Urban,836,360.66
327,Urban,1177,546.84
328,Urban,823,353.56
329,Urban,860,373.76
330,Urban,1146,529.92
331,Urban,782,331.17
332,Urban,1048,476.41
333,Urban,1037,470.4
334,Urban,1023,462.76
335,Urban,812,347.55
336,Urban,941,417.99
337,Urban,1108,509.17
338,Urban,996,448.02
341,Urban,958,427.27
342,Urban,681,276.03
343,Urban,750,313.7
344,Urban,834,359.56
345,Urban,757,317.52
347,Urban,1122,516.81
348,Urban,1193,555.58
353,Urban,917,404.88
354,Urban,1096,502.62
355,Urban,822,353.01
356,Urban,1034,468.76
357,Urban,769,324.07
358,Urban,692,282.03
359,Urban,798,339.91
361,Urban,772,325.71
362,Urban,1058,481.87
363,Urban,793,337.18
364,Urban,908,399.97
365,Urban,732,303.87
366,Urban,753,315.34
367,Urban,840,362.84
369,Urban,1175,545.75
370,Urban,681,276.03
372,Urban,776,327.9
373,Urban,789,334.99
374,Urban,741,308.79
375,Urban,952,423.99
376,Urban,699,285.85
377,Urban,1040,472.04
378,Urban,937,415.8
380,Urban,966,431.64
381,Urban,915,403.79
382,Urban,1124,517.9
383,Urban,913,402.7
384,Urban,1109,509.71
385,Urban,1018,460.03
386,Urban,774,326.8
387,Urban,917,404.88
388,Urban,912,402.15
389,Urban,738,307.15
390,Urban,917,404.88
391,Urban,725,300.05
393,Urban,663,266.2
394,Urban,1178,547.39
395,Urban,709,291.31
396,Urban,925,409.25
397,Urban,770,324.62
398,Urban,1134,523.36
399,Urban,792,336.63
400,Urban,817,350.28
402,Urban,692,282.03
403,Urban,665,267.29
404,Urban,1102,505.89
405,Urban,956,426.18
407,Urban,726,300.6
408,Urban,849,367.75
409,Urban,994,446.92
410,Urban,953,424.54
411,Urban,1032,467.67
412,Urban,1048,476.41
414,Urban,1171,543.57
415,Urban,825,354.65
416,Urban,658,263.47
418,Urban,1126,519.0
419,Urban,1062,484.05
420,Urban,916,404.34
422,Urban,1086,497.16
423,Urban,1035,469.31
424,Urban,892,391.23
425,Urban,963,430.0
426,Urban,1157,535.92
427,Urban,1179,547.93
428,Urban,994,446.92
429,Urban,769,324.07
431,Urban,960,428.36
432,Urban,1052,478.59
433,Urban,708,290.77
434,Urban,1194,556.12
435,Urban,1067,486.78
436,Urban,877,383.04
437,Urban,1112,511.35
438,Urban,669,269.47
439,Urban,1059,482.41
440,Urban,788,334.45
441,Urban,818,350.83
443,Urban,909,400.51
444,Urban,787,333.9
445,Urban,792,336.63
447,Urban,875,381.95
448,Urban,964,430.54
449,Urban,921,407.07
450,Urban,778,328.99
452,Urban,790,335.54
454,Urban,776,327.9
456,Urban,812,347.55
458,Urban,708,290.77
459,Urban,1194,556.12
462,Urban,1034,468.76
463,Urban,1117,514.08
464,Urban,935,414.71
465,Urban,1082,494.97
466,Urban,829,356.83
467,Urban,899,395.05
469,Urban,1117,514.08
470,Urban,720,297.32
471,Urban,678,274.39
472,Urban,796,338.82
473,Urban,1150,532.1
474,Urban,691,281.49
475,Urban,790,335.54
477,Urban,1075,491.15
479,Urban,770,324.62
482,Urban,1112,511.35
483,Urban,964,430.54
484,Urban,654,261.28
485,Urban,864,375.94
486,Urban,697,284.76
487,Urban,1121,516.27
488,Urban,751,314.25
489,Urban,912,402.15
490,Urban,724,299.5
492,Urban,659,264.01
494,Urban,1045,474.77
495,Urban,923,408.16
496,Urban,1089,498.79
497,Urban,921,407.07
498,Urban,1092,500.43
499,Urban,938,416.35
500,Urban,1058,481.87
501,Urban,909,400.51
502,Urban,1005,452.93
503,Urban,1090,499.34
505,Urban,1011,456.21
506,Urban,725,300.05
507,Urban,892,391.23
508,Urban,1144,528.82
509,Urban,1028,465.49
510,Urban,1106,508.08
511,Urban,906,398.88
512,Urban,721,297.87
513,Urban,1185,551.21
514,Urban,948,421.81
515,Urban,1177,546.84
516,Urban,785,332.81
518,Urban,1063,484.6
519,Urban,1006,453.48
520,Urban,960,428.36
522,Urban,809,345.91
523,Urban,971,434.37
524,Urban,917,404.88
525,Urban,1068,487.33
526,Urban,707,290.22
527,Urban,967,432.18
528,Urban,734,304.96
529,Urban,833,359.02
530,Urban,1048,476.41
531,Urban,1112,511.35
533,Urban,682,276.57
534,Urban,1136,524.46
535,Urban,1154,534.28
538,Urban,1036,469.86
539,Urban,865,376.49
540,Urban,1023,462.76
541,Urban,1199,558.85
542,Urban,771,325.17
543,Urban,814,348.64
544,Urban,995,447.47
545,Urban,985,442.01
546,Urban,797,339.36
547,Urban,688,279.85
548,Urban,995,447.47
549,Urban,1156,535.38
550,Urban,1152,533.19
552,Urban,973,435.46
553,Urban,760,319.16
554,Urban,782,331.17
555,Urban,880,384.68
556,Urban,973,435.46
557,Urban,812,347.55
558,Urban,716,295.14
560,Urban,739,307.69
561,Urban,1006,453.48
563,Urban,810,346.46
564,Urban,782,331.17
565,Urban,1069,487.87
566,Urban,685,278.21
567,Urban,692,282.03
568,Urban,900,395.6
570,Urban,1058,481.87
571,Urban,686,278.76
572,Urban,981,439.83
573,Urban,998,449.11
576,Urban,677,273.84
577,Urban,1195,556.67
578,Urban,889,389.59
579,Urban,1087,497.7
582,Urban,698,285.31
583,Urban,903,397.24
584,Urban,816,349.74
585,Urban,664,266.74
586,Urban,770,324.62
587,Urban,1083,495.52
588,Urban,869,378.67
589,Urban,1129,520.63
591,Urban,999,449.65
592,Urban,938,416.35
593,Urban,1119,515.17
597,Urban,734,304.96
598,Urban,945,420.17
599,Urban,745,310.97
600,Urban,657,262.92
601,Urban,1075,491.15
602,Urban,889,389.59
603,Urban,996,448.02
604,Urban,1081,494.43
606,Urban,1132,522.27
607,Urban,653,260.74
609,Urban,1156,535.38
612,Urban,965,431.09
613,Urban,999,449.65
615,Urban,1072,489.51
616,Urban,934,414.16
617,Urban,1044,474.22
618,Urban,824,354.1
619,Urban,726,300.6
620,Urban,1010,455.66
621,Urban,1183,550.12
622,Urban,1140,526.64
623,Urban,856,371.58
624,Urban,656,262.38
625,Urban,1043,473.68
626,Urban,769,324.07
627,Urban,881,385.23
628,Urban,682,276.57
630,Urban,1175,545.75
631,Urban,1134,523.36
632,Urban,892,391.23
633,Urban,778,328.99
634,Urban,1138,525.55
636,Urban,867,377.58
637,Urban,992,445.83
639,Urban,1175,545.75
640,Urban,1150,532.1
641,Urban,1024,463.3
644,Urban,1135,523.91
645,Urban,845,365.57
648,Urban,1089,498.79
649,Urban,886,387.96
650,Urban,967,432.18
651,Urban,882,385.77
652,Urban,736,306.06
653,Urban,964,430.54
654,Urban,1023,462.76
655,Urban,686,278.76
656,Urban,1137,525.0
657,Urban,901,396.15
658,Urban,653,260.74
659,Urban,687,279.3
660,Urban,1014,457.84
661,Urban,1114,512.44
662,Urban,1007,454.02
663,Urban,775,327.35
664,Urban,972,434.91
665,Urban,765,321.89
666,Urban,725,300.05
668,Urban,1000,450.2
669,Urban,1005,452.93
670,Urban,1057,481.32
671,Urban,857,372.12
672,Urban,768,323.53
673,Urban,970,433.82
675,Urban,677,273.84
676,Urban,1156,535.38
677,Urban,1061,483.51
678,Urban,690,280.94
679,Urban,821,352.47
680,Urban,969,433.27
682,Urban,874,381.4
683,Urban,887,388.5
684,Urban,1162,538.65
685,Urban,1120,515.72
686,Urban,782,331.17
688,Urban,934,414.16
689,Urban,1165,540.29
690,Urban,1002,451.29
691,Urban,1192,555.03
692,Urban,1194,556.12
693,Urban,1132,522.27
694,Urban,1172,544.11
695,Urban,688,279.85
696,Urban,831,357.93
698,Urban,1135,523.91
700,Urban,819,351.37
701,Urban,971,434.37
703,Urban,1047,475.86
704,Urban,899,395.05
706,Urban,1133,522.82
707,Urban,966,431.64
708,Urban,823,353.56
709,Urban,962,429.45
710,Urban,1027,464.94
711,Urban,1171,543.57
712,Urban,1115,512.99
713,Urban,1042,473.13
714,Urban,697,284.76
715,Urban,1178,547.39
719,Urban,934,414.16
720,Urban,853,369.94
721,Urban,873,380.86
722,Urban,1011,456.21
723,Urban,960,428.36
724,Urban,812,347.55
725,Urban,1022,462.21
727,Urban,802,342.09
728,Urban,801,341.55
729,Urban,1046,475.32
731,Urban,975,436.55
732,Urban,678,274.39
733,Urban,1035,469.31
734,Urban,706,289.68
735,Urban,829,356.83
736,Urban,935,414.71
737,Urban,1090,499.34
738,Urban,885,387.41
739,Urban,1178,547.39
740,Urban,1119,515.17
741,Urban,866,377.04
742,Urban,705,289.13
743,Urban,764,321.34
744,Urban,982,440.37
745,Urban,1198,558.31
746,Urban,1181,549.03
748,Urban,730,302.78
749,Urban,854,370.48
751,Urban,723,298.96
752,Urban,1097,503.16
753,Urban,1138,525.55
755,Urban,1100,504.8
756,Urban,912,402.15
757,Urban,1088,498.25
759,Urban,883,386.32
760,Urban,1029,466.03
762,Urban,820,351.92
763,Urban,795,338.27
764,Urban,1093,500.98
765,Urban,1079,493.33
766,Urban,1028,465.49
767,Urban,840,362.84
768,Urban,692,282.03
771,Urban,734,304.96
772,Urban,1179,547.93
773,Urban,768,323.53
775,Urban,1195,556.67
776,Urban,1012,456.75
777,Urban,887,388.5
778,Urban,847,366.66
779,Urban,1092,500.43
780,Urban,669,269.47
781,Urban,757,317.52
782,Urban,950,422.9
783,Urban,994,446.92
785,Urban,965,431.09
786,Urban,672,271.11
787,Urban,989,444.19
788,Urban,1004,452.38
789,Urban,697,284.76
790,Urban,983,440.92
791,Urban,1170,543.02
792,Urban,1010,455.66
793,Urban,731,303.33
794,Urban,1192,555.03
795,Urban,1049,476.95
796,Urban,715,294.59
797,Urban,754,315.88
798,Urban,930,411.98
799,Urban,659,264.01
800,Urban,1146,529.92
802,Urban,733,304.42
803,Urban,664,266.74
806,Urban,789,334.99
807,Urban,903,397.24
808,Urban,897,393.96
809,Urban,794,337.72
810,Urban,1014,457.84
811,Urban,673,271.66
812,Urban,1015,458.39
814,Urban,904,397.78
816,Urban,682,276.57
817,Urban,804,343.18
820,Urban,743,309.88
822,Urban,720,297.32
825,Urban,1164,539.74
826,Urban,965,431.09
827,Urban,1177,546.84
829,Urban,792,336.63
830,Urban,830,357.38
831,Urban,938,416.35
832,Urban,1078,492.79
833,Urban,923,408.16
834,Urban,1181,549.03
837,Urban,1059,482.41
838,Urban,843,364.48
839,Urban,776,327.9
841,Urban,767,322.98
842,Urban,1193,555.58
843,Urban,1183,550.12
844,Urban,874,381.4
845,Urban,894,392.32
846,Urban,1046,475.32
847,Urban,889,389.59
848,Urban,704,288.58
849,Urban,992,445.83
850,Urban,1137,525.0
853,Urban,910,401.06
855,Urban,1066,486.24
856,Urban,956,426.18
857,Urban,1096,502.62
858,Urban,914,403.24
859,Urban,778,328.99
862,Urban,777,328.44
863,Urban,921,407.07
864,Urban,846,366.12
865,Urban,894,392.32
866,Urban,930,411.98
867,Urban,704,288.58
868,Urban,791,336.09
870,Urban,1050,477.5
871,Urban,1076,491.7
873,Urban,1194,556.12
874,Urban,656,262.38
875,Urban,655,261.83
877,Urban,774,326.8
878,Urban,793,337.18
880,Urban,861,374.31
881,Urban,1188,552.85
882,Urban,1168,541.93
884,Urban,1160,537.56
885,Urban,1027,464.94
886,Urban,913,402.7
887,Urban,821,352.47
889,Urban,656,262.38
891,Urban,770,324.62
893,Urban,825,354.65
894,Urban,1089,498.79
895,Urban,1164,539.74
896,Urban,918,405.43
897,Urban,857,372.12
902,Urban,969,433.27
904,Urban,906,398.88
907,Urban,774,326.8
908,Urban,898,394.51
910,Urban,694,283.12
911,Urban,1025,463.85
912,Urban,890,390.14
914,Urban,808,345.37
915,Urban,1150,532.1
917,Urban,1179,547.93
918,Urban,1047,475.86
920,Urban,1030,466.58
922,Urban,1016,458.94
923,Urban,931,412.53
924,Urban,986,442.56
925,Urban,802,342.09
926,Urban,898,394.51
927,Urban,1064,485.14
929,Urban,1181,549.03
930,Urban,1171,543.57
932,Urban,895,392.87
935,Urban,983,440.92
936,Urban,679,274.93
937,Urban,709,291.31
939,Urban,667,268.38
941,Urban,1171,543.57
942,Urban,910,401.06
943,Urban,1089,498.79
944,Urban,1109,509.71
945,Urban,909,400.51
946,Urban,1086,497.16
947,Urban,927,410.34
948,Urban,1095,502.07
949,Urban,985,442.01
951,Urban,736,306.06
953,Urban,1010,455.66
954,Urban,791,336.09
955,Urban,808,345.37
956,Urban,1191,554.49
959,Urban,653,260.74
961,Urban,1007,454.02
962,Urban,1108,509.17
963,Urban,1083,495.52
964,Urban,1186,551.76
966,Urban,873,380.86
968,Urban,1182,549.57
972,Urban,1065,485.69
975,Urban,1048,476.41
976,Urban,1148,531.01
977,Urban,778,328.99
978,Urban,936,415.26
979,Urban,651,259.65
980,Urban,721,297.87
981,Urban,1029,466.03
983,Urban,771,325.17
984,Urban,1091,499.89
985,Urban,808,345.37
987,Urban,828,356.29
988,Urban,1002,451.29
989,Urban,1123,517.36
990,Urban,882,385.77
991,Urban,664,266.74
992,Urban,848,367.21
996,Urban,1031,467.13
999,Urban,843,364.48
1000,Urban,857,372.12
1002,Urban,1198,558.31
1003,Urban,955,425.63
1004,Urban,851,368.85
1005,Urban,750,313.7
1006,Urban,798,339.91
1007,Urban,737,306.6
1008,Urban,817,350.28
1009,Urban,1072,489.51
1010,Urban,1001,450.75
1011,Urban,1007,454.02
1012,Urban,1021,461.67
1014,Urban,1200,559.4
1015,Urban,774,326.8
1016,Urban,658,263.47
1018,Urban,816,349.74
1019,Urban,1102,505.89
1020,Urban,973,435.46
1021,Urban,915,403.79
1023,Urban,840,362.84
1024,Urban,844,365.02
1026,Urban,946,420.72
1027,Urban,651,259.65
1028,Urban,898,394.51
1029,Urban,783,331.72
1030,Urban,729,302.23
1031,Urban,799,340.45
1032,Urban,893,391.78
1033,Urban,899,395.05
1035,Urban,741,308.79
1036,Urban,723,298.96
1037,Urban,1157,535.92
1038,Urban,759,318.61
1039,Urban,682,276.57
1040,Urban,656,262.38
1041,Urban,665,267.29
1042,Urban,651,259.65
1043,Urban,710,291.86
1044,Urban,822,353.01
1045,Urban,698,285.31
1047,Urban,1072,489.51
1048,Urban,722,298.41
1050,Urban,748,312.61
1051,Urban,1159,537.01
1052,Urban,768,323.53
1054,Urban,1008,454.57
1055,Urban,907,399.42
1056,Urban,898,394.51
1059,Urban,806,344.28
1060,Urban,1180,548.48
1061,Urban,1134,523.36
1062,Urban,721,297.87
1063,Urban,925,409.25
1064,Urban,1084,496.06
1065,Urban,1127,519.54
1066,Urban,710,291.86
1069,Urban,979,438.73
1070,Urban,709,291.31
1071,Urban,972,434.91
1072,Urban,811,347.01
1075,Urban,707,290.22
1076,Urban,1089,498.79
1077,Urban,1143,528.28
1078,Urban,861,374.31
1079,Urban,1014,457.84
1080,Urban,945,420.17
1082,Urban,885,387.41
1083,Urban,1156,535.38
1084,Urban,1041,472.59
1085,Urban,1148,531.01
1086,Urban,825,354.65
1087,Urban,710,291.86
1088,Urban,752,314.79
1090,Urban,708,290.77
1091,Urban,815,349.19
1092,Urban,929,411.43
1094,Urban,855,371.03
1095,Urban,1189,553.39
1096,Urban,736,306.06
1097,Urban,1169,542.47
1098,Urban,665,267.29
1099,Urban,841,363.39
1100,Urban,811,347.01
1101,Urban,704,288.58
1102,Urban,1068,487.33
1103,Urban,1108,509.17
1105,Urban,710,291.86
1106,Urban,763,320.8
1107,Urban,1008,454.57
1108,Urban,835,360.11
1109,Urban,1090,499.34
1110,Urban,923,408.16
1111,Urban,1192,555.03
1112,Urban,977,437.64
1113,Urban,787,333.9
1114,Urban,957,426.72
1115,Urban,729,302.23
1116,Urban,657,262.92
1117,Urban,921,407.07
1118,Urban,1122,516.81
1122,Urban,1031,467.13
1124,Urban,1169,542.47
1125,Urban,965,431.09
1126,Urban,895,392.87
1127,Urban,689,280.39
1128,Urban,794,337.72
1129,Urban,857,372.12
1131,Urban,686,278.76
1132,Urban,831,357.93
1134,Urban,915,403.79
1135,Urban,1076,491.7
1136,Urban,744,310.42
1137,Urban,777,328.44
1140,Urban,732,303.87
1141,Urban,830,357.38
1142,Urban,669,269.47
1143,Urban,1079,493.33
1145,Urban,734,304.96
1146,Urban,1180,548.48
1147,Urban,995,447.47
1148,Urban,700,286.4
1149,Urban,796,338.82
1151,Urban,1045,474.77
1152,Urban,802,342.09
1155,Urban,663,266.2
1156,Urban,1185,551.21
1157,Urban,842,363.93
1158,Urban,1158,536.47
1160,Urban,1199,558.85
1161,Urban,1109,509.71
1163,Urban,1133,522.82
1164,Urban,826,355.2
1165,Urban,798,339.91
1166,Urban,846,366.12
1167,Urban,899,395.05
1168,Urban,787,333.9
1169,Urban,870,379.22
1170,Urban,869,378.67
1171,Urban,987,443.1
1172,Urban,688,279.85
1173,Urban,975,436.55
1174,Urban,885,387.41
1176,Urban,985,442.01
1179,Urban,1142,527.73
1180,Urban,1029,466.03
1181,Urban,842,363.93
1182,Urban,929,411.43
1184,Urban,780,330.08
1185,Urban,1149,531.55
1186,Urban,764,321.34
1187,Urban,996,448.02
1188,Urban,911,401.61
1190,Urban,858,372.67
1192,Urban,750,313.7
1194,Urban,1035,469.31
1195,Urban,1101,505.35
1196,Urban,1129,520.63
1197,Urban,1200,559.4
1198,Urban,753,315.34
1200,Urban,992,445.83
1201,Urban,722,298.41
1202,Urban,1197,557.76
1203,Urban,711,292.41
1204,Urban,1160,537.56
1205,Urban,1024,463.3
1206,Urban,670,270.02
1208,Urban,979,438.73
1210,Urban,1058,481.87
1212,Urban,822,353.01
1213,Urban,1177,546.84
1214,Urban,751,314.25
1215,Urban,916,404.34
1216,Urban,1101,505.35
1217,Urban,859,373.21
1218,Urban,835,360.11
1220,Urban,1104,506.98
1221,Urban,1072,489.51
1222,Urban,854,370.48
1223,Urban,926,409.8
1225,Urban,1012,456.75
1227,Urban,1023,462.76
1228,Urban,868,378.13
1230,Urban,711,292.41
1231,Urban,920,406.52
1232,Urban,1107,508.62
1233,Urban,1097,503.16
1234,Urban,864,375.94
1235,Urban,1148,531.01
1237,Urban,892,391.23
1238,Urban,1133,522.82
1239,Urban,1059,482.41
1240,Urban,814,348.64
1241,Urban,1106,508.08
1242,Urban,1174,545.2
1243,Urban,669,269.47
1244,Urban,707,290.22
1245,Urban,1188,552.85
1247,Urban,1174,545.2
1248,Urban,1193,555.58
1249,Urban,899,395.05
1251,Urban,662,265.65
1252,Urban,670,270.02
1253,Urban,1155,534.83
1254,Urban,1154,534.28
1255,Urban,1093,500.98
1256,Urban,900,395.6
1257,Urban,995,447.47
1258,Urban,934,414.16
1260,Urban,1113,511.9
1261,Urban,728,301.69
1262,Urban,1181,549.03
1263,Urban,1190,553.94
1266,Urban,1057,481.32
1267,Urban,796,338.82
1268,Urban,707,290.22
1269,Urban,1097,503.16
1270,Urban,867,377.58
1271,Urban,751,314.25
1273,Urban,768,323.53
1274,Urban,1193,555.58
1275,Urban,676,273.3
1276,Urban,902,396.69
1277,Urban,1086,497.16
1279,Urban,1045,474.77
1280,Urban,705,289.13
1281,Urban,1026,464.4
1282,Urban,1055,480.23
1283,Urban,1144,528.82
1286,Urban,933,413.62
1287,Urban,923,408.16
1288,Urban,881,385.23
1289,Urban,786,333.36
1290,Urban,800,341.0
1291,Urban,988,443.65
1292,Urban,827,355.74
1294,Urban,983,440.92
1295,Urban,717,295.68
1296,Urban,1034,468.76
1297,Urban,1059,482.41
1300,Urban,1020,461.12
1302,Urban,730,302.78
1303,Urban,944,419.62
1304,Urban,697,284.76
1306,Urban,715,294.59
1307,Urban,715,294.59
1308,Urban,819,351.37
1310,Urban,1183,550.12
1312,Urban,926,409.8
1313,Urban,759,318.61
1314,Urban,1056,480.78
1315,Urban,1084,496.06
1316,Urban,717,295.68
1317,Urban,1057,481.32
1318,Urban,859,373.21
1320,Urban,982,440.37
1321,Urban,908,399.97
1322,Urban,1165,540.29
1324,Urban,919,405.97
1325,Urban,744,310.42
1326,Urban,681,276.03
1327,Urban,1184,550.66
1328,Urban,802,342.09
1329,Urban,783,331.72
1330,Urban,750,313.7
1331,Urban,1072,489.51
1333,Urban,865,376.49
1334,Urban,1157,535.92
1336,Urban,1181,549.03
1337,Urban,1188,552.85
1338,Urban,1076,491.7
1339,Urban,658,263.47
1340,Urban,973,435.46
1341,Urban,1000,450.2
1342,Urban,841,363.39
1343,Urban,904,397.78
1345,Urban,1166,540.84
1347,Urban,1168,541.93
1348,Urban,1052,478.59
1349,Urban,755,316.43
1350,Urban,760,319.16
1351,Urban,689,280.39
1352,Urban,1130,521.18
1353,Urban,941,417.99
1354,Urban,1012,456.75
1356,Urban,853,369.94
1357,Urban,1151,532.65
1358,Urban,1112,511.35
1359,Urban,1187,552.3
1360,Urban,933,413.62
1361,Urban,1035,469.31
1362,Urban,1192,555.03
1363,Urban,1085,496.61
1364,Urban,735,305.51
1365,Urban,1148,531.01
1366,Urban,1080,493.88
1367,Urban,879,384.13
1369,Urban,798,339.91
1370,Urban,993,446.38
1371,Urban,808,345.37
1372,Urban,941,417.99
1373,Urban,1013,457.3
1375,Urban,1155,534.83
1378,Urban,944,419.62
1379,Urban,975,436.55
1380,Urban,925,409.25
1384,Urban,676,273.3
1385,Urban,972,434.91
1386,Urban,845,365.57
1387,Urban,1070,488.42
1388,Urban,1007,454.02
1389,Urban,1025,463.85
